,F1 ,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18
2017-08-17,,,,,,,,,,,,,,,,,,
2017-08-18,,,,,,,,,,,,,,,,,,
2017-08-19,,,,,,,,,,,,,,,,,,
2017-08-20,,,,,,,,,,,,,,,,,,
2017-08-21,8,8,8,5,4,3,4,1,1,1,,,,,,,,
2017-08-22,8,8,8,5,4,3,,1,1,1,,,,,,,,
2017-08-23,8,8,8,6,4,4,,1,1,1,,,,,,,,
2017-08-24,8,8,8,6,5,4,,1,1,1,,,,,,,,
2017-08-25,8,8,8,6,5,4,,1,1,1,1,,,,,,,
2017-08-26,8,8,8,7,6,4,,1,1,1,1,1,,,,,,
2017-08-27,8,8,8,7,6,4,,1,1,1,1,1,,,,,,
2017-08-28,8,8,8,7,6,4,,1,1,1,1,1,,,,,,
2017-08-29,8,8,8,7,6,4,,1,1,1,1,1,,,,,,
2017-08-30,8,8,8,8,7,4,,1,1,1,1,1,1,1,,,,
2017-08-31,8,8,8,8,7,6,,1,1,1,1,1,1,1,,,,
2017-09-01,8,8,8,8,8,6,,1,1,1,1,1,1,1,,,,
2017-09-02,8,8,8,8,8,6,,1,1,1,1,1,1,1,,,,
2017-09-03,8,8,8,8,d+c,6,,1,1,1,1,1,1,1,,,,
2017-09-04,8,8,8,8,,6,,1,1,1,1,1,1,1,,,,
2017-09-05,8,8,8,8,,7,,1,1,1,1,1,1,1,1,,,
2017-09-06,8,8,8,8,,7,,1,1,1,1,1,1,1,1,,,
2017-09-07,8,8,8,8,,7,,1,1,1,1,1,1,1,1,,,
2017-09-08,8,8,8,8,,8,,1,1,1,1,1,1,1,1,,,
2017-09-09,8,8,8,8,,8,,1,1,1,1,1,1,1,1,,,
2017-09-10,8,8,8,8,,d+c,,2,1,1,1,1,1,1,1,,,
2017-09-11,8,8,8,8,,,,2,2,1,1,1,1,1,1,1,,
2017-09-12,8,8,8,8,,,,2,2,1,1,1,1,1,1,1,1,
2017-09-13,8,8,8,8,,,,2,2,1,1,1,1,1,1,1,1,
2017-09-14,8,8,8,8,,,,2,2,1,1,1,1,1,1,1,1,1
2017-09-15,8,8,8,8,,,,3,2,2,1,1,1,1,1,1,1,1
2017-09-16,8,8,8,8,,,,3,2,2,1,1,1,1,1,1,1,1
2017-09-17,8,8,8,8,,,,3,3,2,2,1,1,1,1,1,1,1
2017-09-18,8,8,8,8,,,,3,3,2,2,1,1,1,1,1,1,1
2017-09-19,8,8,8,8,,,,3,3,2,2,1,1,1,1,1,1,1
2017-09-20,c,c,c,c,,,,4,3,3,2,2,1,1,1,1,1,1
